N=100,N=1000,N=10000,N=50000,N=100000
9.47E-05,7.51E-05,9.73E-05,0.000111341,0.000141382
0.000137806,0.000124454,0.000109196,0.00012064,0.000178337
0.000133753,0.00011158,0.000151157,0.000115395,0.000121117
0.000122309,0.000146627,0.000111103,0.000103951,0.000121593
0.000104427,9.58E-05,0.000174046,0.000100136,0.000140667
0.000135183,0.000105143,9.20E-05,0.000102997,0.000126839
0.000101805,8.03E-05,0.000115633,0.000126362,0.000121117
9.82E-05,7.53E-05,0.000109196,0.000100851,0.000169039
0.000115395,7.32E-05,0.000116348,9.87E-05,0.000126123
0.000101328,0.000108004,8.96E-05,9.92E-05,0.000127792
0.00013113,0.000123262,8.87E-05,0.000124931,0.000129223
0.000125647,0.000102758,8.92E-05,0.0001266,0.00017786
0.000104189,9.78E-05,0.000124216,9.87E-05,0.000123262
0.000117779,0.000146389,0.000158787,0.000104427,0.000142097
0.000113487,0.00010252,0.000123262,9.78E-05,0.000172615
9.68E-05,8.94E-05,0.000102758,9.97E-05,0.00012207
9.44E-05,7.80E-05,9.37E-05,9.92E-05,0.000124454
9.54E-05,9.63E-05,9.13E-05,9.94E-05,0.000131845
9.30E-05,8.39E-05,9.11E-05,9.92E-05,0.000133753
9.51E-05,7.77E-05,9.18E-05,0.000117064,0.000125647
9.35E-05,7.46E-05,0.00010848,0.00013113,0.000166416
9.35E-05,7.44E-05,0.000106812,9.92E-05,0.000121117
0.000118732,7.49E-05,9.08E-05,9.82E-05,0.000119209
0.000100613,7.68E-05,9.04E-05,0.000100613,0.000127316
0.000127316,7.61E-05,0.000106812,9.99E-05,0.000127792
0.000124454,7.44E-05,0.000109673,9.70E-05,0.000126839
0.000112057,7.46E-05,9.08E-05,0.000120878,0.000137568
0.000120401,7.34E-05,0.00010848,9.73E-05,0.000127316
0.000104189,7.22E-05,8.89E-05,9.80E-05,0.00013113
0.000159979,7.46E-05,8.96E-05,9.54E-05,0.00012517
0.000108004,7.34E-05,8.92E-05,0.000122309,0.000123739
0.000136614,7.44E-05,8.89E-05,9.63E-05,0.000122547
0.000166655,9.23E-05,8.77E-05,9.54E-05,0.000124931
0.000121117,8.65E-05,0.000109911,9.61E-05,0.000123262
0.000103235,9.82E-05,0.000122309,0.00012207,0.000121355
