n=100,n=1000,n=10000,n=50000,n=100000
0.021504,0.060416,0.108544,0.320512,0.580608
0.026624,0.06144,0.109568,0.33472,0.582656
0.026624,0.060416,0.109568,0.32768,0.590848
0.027648,0.06128,0.136192,0.325632,0.59904
0.024512,0.060416,0.108544,0.377856,0.65024
0.022528,0.060416,0.108544,0.393216,0.648192
0.0224,0.060416,0.109536,0.318464,0.585728
0.022528,0.06144,0.109568,0.32656,0.580608
0.021504,0.060416,0.109472,0.320448,0.579584
0.021504,0.060416,0.109568,0.380928,0.585728
0.022528,0.060416,0.110592,0.325632,0.584704
0.021504,0.060416,0.108544,0.379904,0.595968
0.022528,0.060416,0.109568,0.325632,0.5888
0.026624,0.060416,0.108544,0.328704,0.5888
0.019456,0.060416,0.108544,0.326656,0.579584
0.019456,0.060416,0.108544,0.385024,0.587616
0.022528,0.060416,0.137216,0.325632,0.659456
0.022528,0.06144,0.109408,0.329728,0.60416
0.033792,0.06144,0.137216,0.316416,0.581632
0.021344,0.060416,0.11264,0.318464,0.598016
0.019456,0.061312,0.108544,0.32768,0.585728
0.019456,0.060416,0.109568,0.32032,0.585728
0.018432,0.060416,0.109568,0.321536,0.5888
0.019424,0.06144,0.11264,0.370688,0.587776
0.021504,0.060416,0.11264,0.378848,0.58368
0.021504,0.063488,0.109568,0.392192,0.582656
0.019456,0.06144,0.109568,0.371712,0.585728
0.019456,0.060416,0.109568,0.32768,0.592896
0.018432,0.060416,0.108544,0.326656,0.582656
0.018432,0.060416,0.111616,0.326656,0.590848
0.019456,0.060416,0.118784,0.323584,0.591872
0.02048,0.070656,0.11776,0.320384,0.590848
0.019456,0.06144,0.111616,0.32768,0.647168
0.019456,0.060416,0.16384,0.329728,0.591872
0.018432,0.060416,0.110592,0.326656,0.57856
0.022528,0.061312,0.11264,0.319488,0.587776
0.020416,0.060416,0.111616,0.326464,0.60416
0.02048,0.060416,0.108544,0.329728,0.593824
0.02048,0.060416,0.109568,0.333824,0.577472
0.019456,0.060416,0.109568,0.325632,0.5888
0.02048,0.060416,0.121856,0.326656,0.594784
0.02048,0.060416,0.120832,0.32656,0.584704
0.023552,0.06144,0.120832,0.328512,0.588672
0.02048,0.060416,0.111616,0.32768,0.58368
0.06656,0.060416,0.109568,0.334816,0.5888
0.019456,0.06144,0.111616,0.328704,0.5888
0.02048,0.060416,0.11264,0.320512,0.579584
0.055296,0.061344,0.165856,0.321408,0.586752
0.064512,0.060416,0.115712,0.336896,0.576512
0.023552,0.061312,0.109568,0.32256,0.591872
0.021504,0.060416,0.108544,0.32256,0.586752
0.02352,0.060416,0.136192,0.321536,0.580608
0.021504,0.060416,0.109472,0.321504,0.584704
0.024576,0.060416,0.109568,0.320512,0.59392
0.021504,0.06128,0.108544,0.326624,0.587776
0.022528,0.059392,0.108544,0.329728,0.57856
0.021504,0.060416,0.108544,0.318464,0.587776
0.021504,0.06032,0.108544,0.32256,0.59392
0.023552,0.060416,0.108544,0.325632,0.584704
0.022528,0.060416,0.108544,0.318304,0.582656
0.023552,0.061376,0.137216,0.327616,0.5888
0.038912,0.060416,0.110592,0.321536,0.585728
0.02336,0.06032,0.137216,0.377728,0.577536
0.022528,0.060416,0.109568,0.321536,0.580608
0.037888,0.060416,0.108544,0.32768,0.594944
0.022528,0.061216,0.11264,0.326656,0.580608
0.072704,0.062464,0.108544,0.326656,0.581568
0.059392,0.060416,0.108544,0.320512,0.5888
0.021504,0.060416,0.108544,0.371584,0.594944
0.058368,0.06128,0.109568,0.321536,0.595904
0.058368,0.060416,0.109568,0.328672,0.583552
0.021504,0.060416,0.13824,0.326656,0.591872
0.022528,0.061344,0.109568,0.326656,0.585728
0.021504,0.060416,0.110592,0.321536,0.62464
0.021504,0.06144,0.109568,0.329632,0.592896
0.022528,0.060416,0.109568,0.321536,0.579584
