Batch Size: 50000
Number of iterations: 100 (after 10 warmup runs)

=== Forward Kinematics Timing ===
Average: 0.000791 seconds
Median: 0.000705 seconds
Std Dev: 0.000207 seconds
Min: 0.000676 seconds
Max: 0.001510 seconds

=== NN Inference Timing ===
Average: 0.000273 seconds
Median: 0.000266 seconds
Std Dev: 0.000035 seconds
Min: 0.000172 seconds
Max: 0.000442 seconds

Total Average Time: 0.001063 seconds

--- Detailed Timing ---
Iteration | FK Time (s) | NN Time (s) | Total (s)
--------------------------------------------------
    1     | 0.000715 | 0.000258 | 0.000973
    2     | 0.000825 | 0.000258 | 0.001083
    3     | 0.000721 | 0.000260 | 0.000981
    4     | 0.000923 | 0.000293 | 0.001216
    5     | 0.000705 | 0.000270 | 0.000976
    6     | 0.000879 | 0.000314 | 0.001193
    7     | 0.000693 | 0.000269 | 0.000963
    8     | 0.000677 | 0.000259 | 0.000936
    9     | 0.001300 | 0.000442 | 0.001743
   10     | 0.001510 | 0.000329 | 0.001840
   11     | 0.000708 | 0.000301 | 0.001009
   12     | 0.000731 | 0.000262 | 0.000993
   13     | 0.000985 | 0.000266 | 0.001251
   14     | 0.000685 | 0.000267 | 0.000953
   15     | 0.000731 | 0.000259 | 0.000990
   16     | 0.000849 | 0.000263 | 0.001112
   17     | 0.000740 | 0.000264 | 0.001005
   18     | 0.000701 | 0.000289 | 0.000990
   19     | 0.000699 | 0.000258 | 0.000957
   20     | 0.000719 | 0.000266 | 0.000985
   21     | 0.000751 | 0.000260 | 0.001011
   22     | 0.000683 | 0.000261 | 0.000944
   23     | 0.001210 | 0.000352 | 0.001563
   24     | 0.001493 | 0.000376 | 0.001869
   25     | 0.000693 | 0.000266 | 0.000960
   26     | 0.000719 | 0.000261 | 0.000980
   27     | 0.000691 | 0.000261 | 0.000952
   28     | 0.000701 | 0.000261 | 0.000962
   29     | 0.000689 | 0.000262 | 0.000951
   30     | 0.000709 | 0.000264 | 0.000973
   31     | 0.000689 | 0.000263 | 0.000952
   32     | 0.000707 | 0.000271 | 0.000978
   33     | 0.000694 | 0.000266 | 0.000960
   34     | 0.000721 | 0.000260 | 0.000981
   35     | 0.000695 | 0.000266 | 0.000962
   36     | 0.000717 | 0.000262 | 0.000979
   37     | 0.000706 | 0.000268 | 0.000974
   38     | 0.001114 | 0.000267 | 0.001381
   39     | 0.001370 | 0.000265 | 0.001636
   40     | 0.000692 | 0.000261 | 0.000954
   41     | 0.000707 | 0.000269 | 0.000976
   42     | 0.000693 | 0.000265 | 0.000958
   43     | 0.000682 | 0.000261 | 0.000943
   44     | 0.000685 | 0.000286 | 0.000971
   45     | 0.000698 | 0.000268 | 0.000967
   46     | 0.000706 | 0.000268 | 0.000974
   47     | 0.000696 | 0.000266 | 0.000962
   48     | 0.000711 | 0.000268 | 0.000979
   49     | 0.000705 | 0.000266 | 0.000971
   50     | 0.000683 | 0.000284 | 0.000966
   51     | 0.000726 | 0.000269 | 0.000995
   52     | 0.000699 | 0.000262 | 0.000961
   53     | 0.001178 | 0.000270 | 0.001448
   54     | 0.001341 | 0.000260 | 0.001601
   55     | 0.000694 | 0.000263 | 0.000957
   56     | 0.000705 | 0.000262 | 0.000967
   57     | 0.000686 | 0.000261 | 0.000947
   58     | 0.000699 | 0.000268 | 0.000967
   59     | 0.000681 | 0.000263 | 0.000944
   60     | 0.000704 | 0.000265 | 0.000970
   61     | 0.000699 | 0.000268 | 0.000966
   62     | 0.000707 | 0.000270 | 0.000977
   63     | 0.000731 | 0.000268 | 0.000999
   64     | 0.000689 | 0.000259 | 0.000948
   65     | 0.000680 | 0.000265 | 0.000945
   66     | 0.000698 | 0.000266 | 0.000965
   67     | 0.000982 | 0.000405 | 0.001387
   68     | 0.001445 | 0.000428 | 0.001873
   69     | 0.000710 | 0.000268 | 0.000978
   70     | 0.000698 | 0.000262 | 0.000960
   71     | 0.000714 | 0.000263 | 0.000978
   72     | 0.000690 | 0.000271 | 0.000961
   73     | 0.000692 | 0.000268 | 0.000961
   74     | 0.000686 | 0.000263 | 0.000949
   75     | 0.000699 | 0.000268 | 0.000968
   76     | 0.000708 | 0.000268 | 0.000976
   77     | 0.000688 | 0.000274 | 0.000962
   78     | 0.000698 | 0.000265 | 0.000964
   79     | 0.000694 | 0.000267 | 0.000961
   80     | 0.000706 | 0.000263 | 0.000968
   81     | 0.000705 | 0.000269 | 0.000975
   82     | 0.001225 | 0.000265 | 0.001490
   83     | 0.001344 | 0.000177 | 0.001522
   84     | 0.000749 | 0.000264 | 0.001013
   85     | 0.000691 | 0.000270 | 0.000962
   86     | 0.000691 | 0.000268 | 0.000959
   87     | 0.000691 | 0.000268 | 0.000959
   88     | 0.000676 | 0.000260 | 0.000936
   89     | 0.000694 | 0.000268 | 0.000962
   90     | 0.000682 | 0.000291 | 0.000973
   91     | 0.000751 | 0.000270 | 0.001021
   92     | 0.000698 | 0.000267 | 0.000965
   93     | 0.000687 | 0.000257 | 0.000944
   94     | 0.000696 | 0.000270 | 0.000967
   95     | 0.000684 | 0.000260 | 0.000944
   96     | 0.000740 | 0.000264 | 0.001005
   97     | 0.001100 | 0.000272 | 0.001372
   98     | 0.001120 | 0.000172 | 0.001292
   99     | 0.000738 | 0.000261 | 0.000999
   100    | 0.000694 | 0.000256 | 0.000950
