Batch Size: 100000
Number of iterations: 100 (after 10 warmup runs)

=== Forward Kinematics Timing ===
Average: 0.000985 seconds
Median: 0.000869 seconds
Std Dev: 0.000247 seconds
Min: 0.000846 seconds
Max: 0.001964 seconds

=== NN Inference Timing ===
Average: 0.000563 seconds
Median: 0.000560 seconds
Std Dev: 0.000043 seconds
Min: 0.000472 seconds
Max: 0.000838 seconds

Total Average Time: 0.001548 seconds

--- Detailed Timing ---
Iteration | FK Time (s) | NN Time (s) | Total (s)
--------------------------------------------------
    1     | 0.000884 | 0.000562 | 0.001446
    2     | 0.001582 | 0.000492 | 0.002074
    3     | 0.001964 | 0.000569 | 0.002533
    4     | 0.000878 | 0.000564 | 0.001442
    5     | 0.001019 | 0.000696 | 0.001716
    6     | 0.000968 | 0.000581 | 0.001549
    7     | 0.001305 | 0.000565 | 0.001869
    8     | 0.000871 | 0.000561 | 0.001433
    9     | 0.000867 | 0.000558 | 0.001425
   10     | 0.000888 | 0.000559 | 0.001447
   11     | 0.000879 | 0.000561 | 0.001440
   12     | 0.001277 | 0.000472 | 0.001750
   13     | 0.001255 | 0.000587 | 0.001842
   14     | 0.000870 | 0.000556 | 0.001426
   15     | 0.000855 | 0.000555 | 0.001410
   16     | 0.000868 | 0.000554 | 0.001423
   17     | 0.000860 | 0.000555 | 0.001415
   18     | 0.000888 | 0.000568 | 0.001456
   19     | 0.000874 | 0.000560 | 0.001435
   20     | 0.000856 | 0.000557 | 0.001413
   21     | 0.000851 | 0.000560 | 0.001411
   22     | 0.001572 | 0.000557 | 0.002129
   23     | 0.001279 | 0.000565 | 0.001844
   24     | 0.000861 | 0.000557 | 0.001419
   25     | 0.000851 | 0.000564 | 0.001414
   26     | 0.000856 | 0.000560 | 0.001416
   27     | 0.000865 | 0.000557 | 0.001421
   28     | 0.000896 | 0.000583 | 0.001479
   29     | 0.000917 | 0.000572 | 0.001488
   30     | 0.000855 | 0.000558 | 0.001413
   31     | 0.000890 | 0.000563 | 0.001453
   32     | 0.001402 | 0.000716 | 0.002118
   33     | 0.001675 | 0.000564 | 0.002240
   34     | 0.000860 | 0.000558 | 0.001419
   35     | 0.000863 | 0.000562 | 0.001425
   36     | 0.000854 | 0.000556 | 0.001410
   37     | 0.000852 | 0.000562 | 0.001414
   38     | 0.000856 | 0.000565 | 0.001421
   39     | 0.000866 | 0.000564 | 0.001430
   40     | 0.000870 | 0.000558 | 0.001429
   41     | 0.000873 | 0.000562 | 0.001435
   42     | 0.000855 | 0.000564 | 0.001419
   43     | 0.001213 | 0.000474 | 0.001687
   44     | 0.001388 | 0.000562 | 0.001950
   45     | 0.000862 | 0.000567 | 0.001429
   46     | 0.000846 | 0.000557 | 0.001403
   47     | 0.000850 | 0.000561 | 0.001411
   48     | 0.000861 | 0.000562 | 0.001423
   49     | 0.000868 | 0.000565 | 0.001432
   50     | 0.000888 | 0.000561 | 0.001449
   51     | 0.000901 | 0.000559 | 0.001460
   52     | 0.000868 | 0.000558 | 0.001426
   53     | 0.001526 | 0.000474 | 0.002000
   54     | 0.000912 | 0.000554 | 0.001467
   55     | 0.000848 | 0.000583 | 0.001431
   56     | 0.000848 | 0.000559 | 0.001407
   57     | 0.000854 | 0.000560 | 0.001414
   58     | 0.000857 | 0.000559 | 0.001416
   59     | 0.000883 | 0.000559 | 0.001442
   60     | 0.000860 | 0.000559 | 0.001419
   61     | 0.000892 | 0.000562 | 0.001454
   62     | 0.000856 | 0.000560 | 0.001416
   63     | 0.001493 | 0.000838 | 0.002331
   64     | 0.001295 | 0.000476 | 0.001772
   65     | 0.001097 | 0.000559 | 0.001656
   66     | 0.000857 | 0.000555 | 0.001411
   67     | 0.000850 | 0.000559 | 0.001409
   68     | 0.000861 | 0.000556 | 0.001417
   69     | 0.000873 | 0.000571 | 0.001445
   70     | 0.000871 | 0.000559 | 0.001431
   71     | 0.000855 | 0.000565 | 0.001420
   72     | 0.000855 | 0.000561 | 0.001416
   73     | 0.001448 | 0.000563 | 0.002011
   74     | 0.001537 | 0.000697 | 0.002234
   75     | 0.000865 | 0.000558 | 0.001423
   76     | 0.000856 | 0.000560 | 0.001416
   77     | 0.000866 | 0.000556 | 0.001422
   78     | 0.000875 | 0.000556 | 0.001431
   79     | 0.000891 | 0.000568 | 0.001459
   80     | 0.000869 | 0.000562 | 0.001431
   81     | 0.000883 | 0.000556 | 0.001439
   82     | 0.000863 | 0.000558 | 0.001421
   83     | 0.001490 | 0.000564 | 0.002054
   84     | 0.001443 | 0.000475 | 0.001918
   85     | 0.000875 | 0.000559 | 0.001434
   86     | 0.000861 | 0.000561 | 0.001421
   87     | 0.000876 | 0.000559 | 0.001436
   88     | 0.000858 | 0.000561 | 0.001419
   89     | 0.000886 | 0.000563 | 0.001449
   90     | 0.000868 | 0.000564 | 0.001432
   91     | 0.000863 | 0.000555 | 0.001418
   92     | 0.000855 | 0.000563 | 0.001418
   93     | 0.000857 | 0.000517 | 0.001374
   94     | 0.001653 | 0.000566 | 0.002219
   95     | 0.000857 | 0.000562 | 0.001419
   96     | 0.000853 | 0.000558 | 0.001411
   97     | 0.000872 | 0.000563 | 0.001436
   98     | 0.000858 | 0.000558 | 0.001416
   99     | 0.000850 | 0.000566 | 0.001416
   100    | 0.000869 | 0.000561 | 0.001430
