Batch Size: 1000
Number of iterations: 100 (after 10 warmup runs)

=== Forward Kinematics Timing ===
Average: 0.000699 seconds
Median: 0.000631 seconds
Std Dev: 0.000182 seconds
Min: 0.000513 seconds
Max: 0.001378 seconds

=== NN Inference Timing ===
Average: 0.000121 seconds
Median: 0.000111 seconds
Std Dev: 0.000052 seconds
Min: 0.000024 seconds
Max: 0.000412 seconds

Total Average Time: 0.000820 seconds

--- Detailed Timing ---
Iteration | FK Time (s) | NN Time (s) | Total (s)
--------------------------------------------------
    1     | 0.000513 | 0.000106 | 0.000620
    2     | 0.000868 | 0.000024 | 0.000892
    3     | 0.001049 | 0.000114 | 0.001163
    4     | 0.001036 | 0.000118 | 0.001154
    5     | 0.000575 | 0.000105 | 0.000680
    6     | 0.000600 | 0.000107 | 0.000708
    7     | 0.000614 | 0.000157 | 0.000771
    8     | 0.000618 | 0.000289 | 0.000907
    9     | 0.000761 | 0.000103 | 0.000864
   10     | 0.000606 | 0.000103 | 0.000710
   11     | 0.000599 | 0.000102 | 0.000701
   12     | 0.000644 | 0.000412 | 0.001056
   13     | 0.000700 | 0.000138 | 0.000839
   14     | 0.000648 | 0.000128 | 0.000776
   15     | 0.000606 | 0.000106 | 0.000713
   16     | 0.000666 | 0.000122 | 0.000788
   17     | 0.000658 | 0.000115 | 0.000773
   18     | 0.000841 | 0.000287 | 0.001128
   19     | 0.000893 | 0.000112 | 0.001004
   20     | 0.001378 | 0.000208 | 0.001586
   21     | 0.000626 | 0.000113 | 0.000738
   22     | 0.000620 | 0.000110 | 0.000730
   23     | 0.000616 | 0.000116 | 0.000732
   24     | 0.000717 | 0.000247 | 0.000964
   25     | 0.000689 | 0.000115 | 0.000804
   26     | 0.000848 | 0.000129 | 0.000977
   27     | 0.000682 | 0.000110 | 0.000793
   28     | 0.000637 | 0.000110 | 0.000746
   29     | 0.000637 | 0.000117 | 0.000753
   30     | 0.000646 | 0.000112 | 0.000757
   31     | 0.000676 | 0.000115 | 0.000791
   32     | 0.000636 | 0.000112 | 0.000748
   33     | 0.000958 | 0.000112 | 0.001069
   34     | 0.000631 | 0.000114 | 0.000744
   35     | 0.000620 | 0.000109 | 0.000728
   36     | 0.001069 | 0.000134 | 0.001203
   37     | 0.001377 | 0.000209 | 0.001586
   38     | 0.000529 | 0.000119 | 0.000648
   39     | 0.000637 | 0.000114 | 0.000751
   40     | 0.000618 | 0.000110 | 0.000727
   41     | 0.000653 | 0.000139 | 0.000792
   42     | 0.000647 | 0.000110 | 0.000758
   43     | 0.000654 | 0.000114 | 0.000768
   44     | 0.000625 | 0.000119 | 0.000744
   45     | 0.000622 | 0.000114 | 0.000736
   46     | 0.000670 | 0.000114 | 0.000783
   47     | 0.000645 | 0.000119 | 0.000764
   48     | 0.000636 | 0.000113 | 0.000749
   49     | 0.000618 | 0.000108 | 0.000726
   50     | 0.000622 | 0.000115 | 0.000737
   51     | 0.000638 | 0.000111 | 0.000749
   52     | 0.000627 | 0.000109 | 0.000735
   53     | 0.000645 | 0.000113 | 0.000758
   54     | 0.000665 | 0.000109 | 0.000773
   55     | 0.000952 | 0.000341 | 0.001293
   56     | 0.001298 | 0.000111 | 0.001409
   57     | 0.000631 | 0.000106 | 0.000737
   58     | 0.000623 | 0.000112 | 0.000734
   59     | 0.000627 | 0.000110 | 0.000736
   60     | 0.000610 | 0.000105 | 0.000716
   61     | 0.000624 | 0.000105 | 0.000729
   62     | 0.000594 | 0.000111 | 0.000705
   63     | 0.000587 | 0.000105 | 0.000692
   64     | 0.000587 | 0.000138 | 0.000725
   65     | 0.000603 | 0.000106 | 0.000709
   66     | 0.000627 | 0.000111 | 0.000738
   67     | 0.000601 | 0.000106 | 0.000708
   68     | 0.000630 | 0.000119 | 0.000748
   69     | 0.000622 | 0.000121 | 0.000743
   70     | 0.000610 | 0.000114 | 0.000724
   71     | 0.000638 | 0.000107 | 0.000745
   72     | 0.000628 | 0.000116 | 0.000743
   73     | 0.000593 | 0.000107 | 0.000701
   74     | 0.001007 | 0.000024 | 0.001030
   75     | 0.001054 | 0.000049 | 0.001103
   76     | 0.000760 | 0.000108 | 0.000868
   77     | 0.000619 | 0.000110 | 0.000728
   78     | 0.000607 | 0.000104 | 0.000711
   79     | 0.000598 | 0.000111 | 0.000708
   80     | 0.000601 | 0.000105 | 0.000706
   81     | 0.000641 | 0.000111 | 0.000752
   82     | 0.000588 | 0.000106 | 0.000694
   83     | 0.000631 | 0.000111 | 0.000741
   84     | 0.000602 | 0.000104 | 0.000706
   85     | 0.000620 | 0.000105 | 0.000725
   86     | 0.000680 | 0.000114 | 0.000794
   87     | 0.000600 | 0.000111 | 0.000710
   88     | 0.000648 | 0.000115 | 0.000763
   89     | 0.000608 | 0.000108 | 0.000716
   90     | 0.000586 | 0.000108 | 0.000693
   91     | 0.000631 | 0.000111 | 0.000742
   92     | 0.000602 | 0.000104 | 0.000706
   93     | 0.000634 | 0.000116 | 0.000750
   94     | 0.001122 | 0.000024 | 0.001146
   95     | 0.001369 | 0.000110 | 0.001478
   96     | 0.000649 | 0.000109 | 0.000758
   97     | 0.000621 | 0.000102 | 0.000723
   98     | 0.000640 | 0.000113 | 0.000753
   99     | 0.000599 | 0.000106 | 0.000706
   100    | 0.000593 | 0.000111 | 0.000704
