Batch Size: 200000
Number of iterations: 100 (after 10 warmup runs)

=== Forward Kinematics Timing ===
Average: 0.001455 seconds
Median: 0.001290 seconds
Std Dev: 0.000303 seconds
Min: 0.001271 seconds
Max: 0.002434 seconds

=== NN Inference Timing ===
Average: 0.001116 seconds
Median: 0.001107 seconds
Std Dev: 0.000061 seconds
Min: 0.001026 seconds
Max: 0.001455 seconds

Total Average Time: 0.002571 seconds

--- Detailed Timing ---
Iteration | FK Time (s) | NN Time (s) | Total (s)
--------------------------------------------------
    1     | 0.001395 | 0.001117 | 0.002512
    2     | 0.001274 | 0.001107 | 0.002381
    3     | 0.001277 | 0.001108 | 0.002385
    4     | 0.001906 | 0.001114 | 0.003020
    5     | 0.001790 | 0.001108 | 0.002898
    6     | 0.001300 | 0.001108 | 0.002408
    7     | 0.001299 | 0.001107 | 0.002407
    8     | 0.001327 | 0.001105 | 0.002432
    9     | 0.001271 | 0.001101 | 0.002372
   10     | 0.001886 | 0.001371 | 0.003257
   11     | 0.001807 | 0.001114 | 0.002922
   12     | 0.001292 | 0.001108 | 0.002400
   13     | 0.001280 | 0.001111 | 0.002391
   14     | 0.001306 | 0.001108 | 0.002414
   15     | 0.001277 | 0.001104 | 0.002381
   16     | 0.001563 | 0.001028 | 0.002591
   17     | 0.002434 | 0.001110 | 0.003544
   18     | 0.001282 | 0.001103 | 0.002385
   19     | 0.001271 | 0.001103 | 0.002374
   20     | 0.001283 | 0.001111 | 0.002394
   21     | 0.001299 | 0.001111 | 0.002410
   22     | 0.001302 | 0.001305 | 0.002607
   23     | 0.001924 | 0.001113 | 0.003037
   24     | 0.001284 | 0.001106 | 0.002390
   25     | 0.001277 | 0.001103 | 0.002380
   26     | 0.001281 | 0.001112 | 0.002393
   27     | 0.001274 | 0.001108 | 0.002382
   28     | 0.001282 | 0.001103 | 0.002385
   29     | 0.001990 | 0.001026 | 0.003016
   30     | 0.001369 | 0.001103 | 0.002472
   31     | 0.001284 | 0.001100 | 0.002384
   32     | 0.001306 | 0.001102 | 0.002407
   33     | 0.001280 | 0.001108 | 0.002388
   34     | 0.001279 | 0.001101 | 0.002380
   35     | 0.002095 | 0.001049 | 0.003143
   36     | 0.001602 | 0.001109 | 0.002711
   37     | 0.001280 | 0.001104 | 0.002384
   38     | 0.001281 | 0.001108 | 0.002389
   39     | 0.001277 | 0.001102 | 0.002379
   40     | 0.001271 | 0.001099 | 0.002369
   41     | 0.001776 | 0.001296 | 0.003072
   42     | 0.001783 | 0.001105 | 0.002888
   43     | 0.001291 | 0.001106 | 0.002397
   44     | 0.001279 | 0.001115 | 0.002394
   45     | 0.001293 | 0.001126 | 0.002420
   46     | 0.001283 | 0.001108 | 0.002391
   47     | 0.001561 | 0.001039 | 0.002600
   48     | 0.002426 | 0.001111 | 0.003537
   49     | 0.001278 | 0.001102 | 0.002380
   50     | 0.001280 | 0.001107 | 0.002386
   51     | 0.001291 | 0.001113 | 0.002404
   52     | 0.001279 | 0.001107 | 0.002386
   53     | 0.001273 | 0.001322 | 0.002595
   54     | 0.002063 | 0.001107 | 0.003170
   55     | 0.001278 | 0.001102 | 0.002380
   56     | 0.001291 | 0.001104 | 0.002395
   57     | 0.001279 | 0.001110 | 0.002389
   58     | 0.001309 | 0.001102 | 0.002411
   59     | 0.001272 | 0.001109 | 0.002381
   60     | 0.001972 | 0.001050 | 0.003022
   61     | 0.001550 | 0.001106 | 0.002656
   62     | 0.001279 | 0.001106 | 0.002385
   63     | 0.001278 | 0.001109 | 0.002387
   64     | 0.001284 | 0.001105 | 0.002389
   65     | 0.001285 | 0.001104 | 0.002389
   66     | 0.001906 | 0.001052 | 0.002957
   67     | 0.001593 | 0.001105 | 0.002698
   68     | 0.001275 | 0.001106 | 0.002381
   69     | 0.001278 | 0.001102 | 0.002379
   70     | 0.001280 | 0.001111 | 0.002391
   71     | 0.001303 | 0.001102 | 0.002405
   72     | 0.002110 | 0.001127 | 0.003238
   73     | 0.001731 | 0.001108 | 0.002839
   74     | 0.001288 | 0.001108 | 0.002396
   75     | 0.001272 | 0.001099 | 0.002371
   76     | 0.001318 | 0.001114 | 0.002432
   77     | 0.001275 | 0.001105 | 0.002380
   78     | 0.001783 | 0.001230 | 0.003013
   79     | 0.002081 | 0.001131 | 0.003212
   80     | 0.001310 | 0.001115 | 0.002425
   81     | 0.001294 | 0.001113 | 0.002407
   82     | 0.001310 | 0.001113 | 0.002422
   83     | 0.001332 | 0.001110 | 0.002442
   84     | 0.001879 | 0.001104 | 0.002983
   85     | 0.001802 | 0.001112 | 0.002914
   86     | 0.001276 | 0.001103 | 0.002379
   87     | 0.001284 | 0.001111 | 0.002395
   88     | 0.001285 | 0.001105 | 0.002390
   89     | 0.001271 | 0.001110 | 0.002381
   90     | 0.001271 | 0.001455 | 0.002726
   91     | 0.002293 | 0.001030 | 0.003322
   92     | 0.001288 | 0.001110 | 0.002398
   93     | 0.001280 | 0.001106 | 0.002386
   94     | 0.001291 | 0.001106 | 0.002397
   95     | 0.001275 | 0.001106 | 0.002381
   96     | 0.001273 | 0.001128 | 0.002401
   97     | 0.002129 | 0.001027 | 0.003156
   98     | 0.001361 | 0.001105 | 0.002466
   99     | 0.001271 | 0.001100 | 0.002370
   100    | 0.001280 | 0.001106 | 0.002386
